longitude,latitude,name,address,foundation_date,rating,day_of_week
-87.80473,41.87985,"Wendy's-Oak Park,IL","11 N Harlem Ave, Oak Park,IL, (708) 383-4290",1992/02/17,1,thursday
-82.35465,38.413090000000004,"Wendy's-Huntington,WV ","4901 US Route 60, Huntington,WV, (304) 733-2534",1992/02/02,1,friday
-82.66789,34.54107,"Wendy's-Anderson,SC","3200 N Main St, Anderson,SC, (864) 225-2888",1983/04/02,5,tuesday
-85.76458000000001,42.97218,"Wendy's-Grand Rapids,MI ","3922 Lake Michigan Dr NW, Grand Rapids,MI, (616) 735-0781",2007/03/07,4,monday
-80.86516999999999,35.44072,"Wendy's-Huntersville,NC","16600 Statesville Rd, Huntersville,NC, (704) 895-2142",1983/04/05,1,thursday
-118.76665,34.27195,"Wendy's-Simi Valley,CA","1613 E Los Angeles Ave, Simi Valley,CA, (805) 522-5090",2007/01/07,4,wednesday
-90.66734,35.8063,"Wendy's-Jonesboro,AR","2308 E Parker Rd, Jonesboro,AR, (870) 802-0364",1989/02/02,5,friday
-118.58838,34.21909,"Wendy's-Canoga Park,CA ","8232 De Soto Ave, Canoga Park,CA, (818) 700-1578",1986/03/02,2,thursday
-88.46382,44.27309,"Wendy's-Appleton,WI ","3815 W Wisconsin Ave, Appleton,WI , (920) 739-2173",1995/02/07,5,tuesday
-73.71876999999999,40.660779999999995,"Wendy's-Valley Stream,NY","2046 Green Acres Mall, Valley Stream,NY, (516) 872-5450",1983/01/12,5,tuesday
-79.5436,40.81326,"Wendy's-Kittanning,PA","18 Hilltop Plz, Kittanning,PA, (724) 543-1333",2007/02/05,4,monday
-80.85486,35.79059,"Wendy's-Statesville,NC","1807 E Broad St, Statesville,NC, (704) 872-7919",1995/01/02,5,monday
-96.33943000000001,30.67163,"Wendy's-Bryan,TX","891 N Earl Rudder Fwy, Bryan,TX, (979) 776-8238",1989/03/15,5,friday
-82.071709,29.071178000000003,"Wendy's-Belleview,FL","10410 Se Us Highway 441, Belleview,FL, (352) 347-3225",1995/02/02,4,wednesday
-88.56226,34.67191,"Wendy's-Booneville,MS","906 N 2nd St, Booneville,MS, (662) 728-8333",1980/03/02,2,tuesday
-84.510132,34.190956,"Wendy's-Canton,GA","154 Prominence Point Pkwy, Canton,GA, (770) 479-0737",1983/02/01,1,monday
-97.72091999999999,31.09055,"Wendy's-Killeen,TX","2008 E Central Texas Expy, Killeen,TX, (254) 526-3507",1986/08/02,2,tuesday
-78.935287,43.867702,"Wendy's-Whitby,ON","1 Paisley Court, Whitby,ON L1N 9L2 CA, (905) 665-1176",1989/03/07,5,wednesday
-73.84224,40.87955,"Wendy's-Bronx,NY","3636 Boston Rd, Bronx,NY, (718) 798-4133",1986/01/02,1,tuesday
-89.61802,39.75785,"Wendy's-Springfield,IL","2620 Adlai Stevenson Dr, Springfield,IL, (217) 529-0441",1983/04/01,5,tuesday
-84.47424000000001,39.21058,"Wendy's-Cincinnati,OH ","8240 Vine St, Cincinnati,OH, (513) 821-3038",1983/04/05,4,monday
-81.76998,26.27223,"Wendy's-Naples,FL","10951 Airport Pulling Rd N, Naples,FL, (239) 592-0888",1986/03/07,4,friday
-112.15173999999999,33.567609999999995,"Wendy's-Glendale,AZ","4302 W Olive Ave, Glendale,AZ, (623) 937-4412",1992/01/02,2,thursday
-81.70025,30.225620000000003,"Wendy's-Jacksonville,FL","6801 Roosevelt Blvd, Jacksonville,FL, (904) 772-7511",1983/03/07,2,wednesday
-77.70541,43.14865,"Wendy's-Rochester,NY ","1951 Buffalo Rd, Rochester,NY, (585) 247-1792",1995/02/12,5,tuesday
-78.65144000000001,35.73379,"Wendy's-Raleigh,NC","3400 Olympia Dr, Raleigh,NC, (919) 772-5807",1992/04/01,1,friday
-93.09911,34.4936,"Wendy's-Hot Springs,AR","2117 Albert Pike Rd, Hot Springs,AR, (501) 623-6864",1992/04/02,5,wednesday
-70.97653000000001,43.317640000000004,"Wendy's-Rochester,NH","198 Wakefield St, Rochester,NH, (603) 332-5975",1983/02/05,2,thursday
-83.24076,42.44405,"Wendy's-Southfield,MI ","20066 W 8 Mile Rd, Southfield,MI, (248) 354-6166",1983/04/01,3,monday
-84.33525,37.3702,"Wendy's-Mt Vernon,KY","1250 Richmond St, Mt Vernon,KY, (606) 256-5611",1983/07/12,3,tuesday
-96.53379,32.64761,"Wendy's-Seagoville,TX","605 E Malloy Bridge Rd, Seagoville,TX, (972) 287-2040",2001/01/05,5,thursday
-81.87181,26.607329999999997,"Wendy's-Fort Myers,FL","3783 Cleveland Ave, Fort Myers,FL, (239) 936-4409",1986/01/05,4,wednesday
-97.12568,31.551440000000003,"Wendy's-Waco,TX","811 S 5th St, Waco,TX, (254) 752-8850",2001/01/01,3,thursday
-111.54099,40.72488,"Wendy's-Park City,UT","1620 Ute Blvd, Park City,UT, (435) 658-2383",1983/04/12,1,wednesday
-86.22038,43.06391,"Wendy's-Grand Haven,MI ","320 N Beacon Blvd, Grand Haven,MI, (616) 842-1880",1992/01/15,5,wednesday
-87.3759,39.47132,"Wendy's-Terre Haute,IN ","2803 Wabash Ave, Terre Haute,IN, (812) 232-7905",1992/02/07,4,tuesday
-83.83771,42.28817,"Wendy's-Ann Arbor,MI ","5445 Jackson Rd, Ann Arbor,MI, (734) 665-6702",1986/06/15,2,monday
-84.84038000000001,36.839890000000004,"Wendy's-Monticello,KY","2098 N Main St, Monticello,KY, (606) 348-4522",2001/01/02,4,monday
-91.13756,30.4262,"Wendy's-Baton Rouge,LA","2374 College Dr, Baton Rouge,LA, (225) 928-5010",1989/01/02,3,thursday
-89.84261,35.071690000000004,"Wendy's-Memphis,TN","2845 Kirby Rd, Memphis,TN, (901) 737-9872",1992/02/07,4,friday
-76.6298,39.91642,"Wendy's-Red Lion,PA","3197 Cape Horn Rd, Red Lion,PA, (717) 244-2258",1986/03/02,2,tuesday
